T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
21.8,29.2,14,1018.8,46,4.3,7.2,14.8,284.79583333333335
20.2,27.3,13.8,1018.9,47,3.7,8.5,18.3,219.72083333333333
19.4,27.2,11.2,1018.3,44,4,8.1,14.8,182.1875
,,,,,,,,115.28749999999998
,,,,,,,,0.0
,,,,,,,,12.379166666666668
20.9,29.3,12.6,1016.9,49,4.8,6.1,14.8,154.03750000000002
21.2,28.8,14,1016.5,52,5,8.1,11.1,223.20833333333334
18.2,25.5,11.8,1015.5,55,4.2,8.7,18.3,200.64583333333337
,,,,,,,,154.875
,,,,,,,,129.38749999999996
,,,,,,,,224.2458333333333
21.6,28,13.8,1013,44,5,8,18.3,285.22499999999997
22.1,28,13.4,1012.4,48,4.8,8.5,14.8,236.82499999999996
19.8,28,14.5,1012.6,57,4.5,9.3,18.3,276.90833333333336
,,,,,,,,245.65
,,,,,,,,218.67083333333326
,,,,,,,,47.82500000000001
15.4,18,11.8,1013,90,1,9.8,18.3,108.0
14.2,19,10,1018.1,73,2.9,6.3,11.1,107.625
14.3,20.4,6,1019.9,57,4.2,6.7,14.8,125.89166666666667
,,,,,,,,179.3083333333333
,,,,,,,,239.85
,,,,,,,,220.1916666666667
19.5,27,9.4,1014.5,40,4.8,8,14.8,181.01250000000005
20.8,28,12,1014.3,40,5.6,8.7,14.8,152.55416666666667
19.1,27.4,9.6,1013.8,47,5.1,8.3,14.8,152.32083333333335
,,,,,,,,171.42916666666665
,,,,,,,,251.375
,,,,,,,,251.82916666666668
22.2,30,13.8,1014.6,53,4.8,8.5,22.2,319.7375
21.2,29,13,-,53,5.6,8.5,22.2,332.7083333333333
20.4,28,14,1015.9,56,4.5,10.9,25.9,279.59999999999997
18.2,24,11,1017.3,50,4.7,9.6,22.2,179.11666666666667
,,,,,,,,166.29999999999998
,,,,,,,,78.25416666666666
,,,,,,,,54.958333333333336
20.3,27,13.2,1014.6,37,4.2,15,27.8,54.791666666666664
19.1,25,10,1015.7,43,4.7,8,16.5,93.375
21.2,26,11.8,1014.2,41,4.2,9.4,14.8,103.0
,,,,,,,,211.125
,,,,,,,,192.29166666666666
,,,,,,,,152.0
20.4,27,13,1013.1,44,5,9.6,18.3,132.20833333333334
21.3,27.4,12,1014.2,45,5.5,8.1,14.8,127.70833333333333
18.7,26,14.3,1014.2,63,4.3,11.9,16.5,109.33333333333333
,,,,,,,,0.0
,,,,,,,,0.0
,,,,,,,,0.0
25.7,34,18,1013.2,47,4.3,9.8,14.8,56.458333333333336
26,33,19,1014.4,54,5,10.4,18.3,135.83333333333334
23.3,28.2,17.9,1014.1,60,4.7,9.1,14.8,122.5
,,,,,,,,119.33333333333333
,,,,,,,,67.125
,,,,,,,,46.708333333333336
23.8,31,15,1013.2,30,5.5,10.4,18.3,69.66666666666667
23.4,30,15,1015.3,39,5.5,11.5,18.3,79.83333333333333
23.8,30,15,1016.2,42,5,9.3,13,62.708333333333336
,,,,,,,,81.04166666666667
,,,,,,,,21.208333333333332
26.1,33,16,-,35,5.3,10,16.5,1.9166666666666667
27.8,35,18.6,1013.8,36,5.3,9.4,18.3,1.8333333333333333
27.2,35,20,1013.6,41,5.3,10,27.8,1.7916666666666667
,,,,,,,,31.625
,,,,,,,,112.08333333333333
,,,,,,,,105.83333333333333
26.2,32,18.5,1009.3,40,4.8,10.6,18.3,117.58333333333333
25.9,33,16.6,1009.5,45,5.5,7,11.1,122.70833333333333
26.7,33,17.2,-,43,5.5,7.2,18.3,76.54166666666667
,,,,,,,,159.08333333333334
,,,,,,,,147.95833333333334
,,,,,,,,111.95833333333333
25.4,30.9,19,1009.8,57,4.7,9.4,14.8,59.208333333333336
24.6,31.4,15.4,1012,41,5.3,8.5,18.3,77.20833333333333
24.7,30,17,1012.8,43,5.5,12,18.3,87.83333333333333
,,,,,,,,90.04166666666667
,,,,,,,,63.916666666666664
,,,,,,,,98.70833333333333
28.8,35,20.3,1009,27,5.8,19.6,42.4,123.70833333333333
29,35,20.4,1009.5,22,5.5,17,37,64.79166666666667
28.8,36,19,1008.3,23,5.6,10.7,22.2,62.875
,,,,,,,,88.375
,,,,,,,,77.66666666666667
,,,,,,,,52.333333333333336
30.6,38,20.9,1010.3,20,5.5,11.5,20.6,52.041666666666664
32,39,21,1009.3,21,4.8,10.7,27.8,128.33333333333334
28.7,34,23.4,1010.1,40,4.2,10.9,22.2,87.58333333333333
,,,,,,,,2.9166666666666665
,,,,,,,,0.0
,,,,,,,,0.0
30.1,38.4,19.9,1007.8,22,5.3,9.4,18.3,23.208333333333332
30.9,39,22.7,1006.9,21,5.1,10.6,16.5,15.166666666666666
33,41.2,22.5,1007.2,25,5.5,7.4,13,21.25
34.3,41,25.5,1007.7,24,5.6,12.6,18.3,25.75
,,,,,,,,52.416666666666664
,,,,,,,,89.0
